oem,oem_norm,hr_raw,hr_code,matched
245.26935.01,2452693501,HR3502,HR 3502,1
246.059,246059,HR7275,HR 7275,1
246.367,246367,HR6354,HR 6354,1
246.504,246504,HR6273,HR 6273,1
246.568,246568,HR7127,HR 7127,1
246.584,246584,HR7234,HR 7234,1
246610,246610,HR7334,HR 7334,1
246645,246645,HR7898,HR 7898,1
2466470,2466470,HR42019,HR 42019,1
246.791,246791,HR6655,HR 6655,1
246.844,246844,HR6655,HR 6655,1
247260,247260,HR8558,HR 8558,1
247460,247460,HR8558,HR 8558,1
247700,247700,HR8676,HR 8676,1
247718,247718,HR8680,HR 8680,1
248020,248020,HR6337,HR 6337,1
248510,248510,HR6707,HR 6707,1
248598,248598,HR82437,HR 82437,0
249059032,249059032,HR502,HR 502,1
249.134,249134,HR7129,HR 7129,1
249.226,249226,HR7159,HR 7159,1
249244084,249244084,HR2274T21S,HR 2274 T21S,1
249244094,249244094,HR2274T21S,HR 2274 T21S,1
249271086,249271086,HR2274T25S,HR 2274 T25S,1
249303103,249303103,HR2274T32S,HR 2274 T32S,1
249.361,249361,HR7140,HR 7140,1
249.498,249498,HR7172,HR 7172,1
249.811,249811,HR7041,HR 7041,1
249.948,249948,HR7172,HR 7172,1
24ED2-B,24ED2B,HR602,HR 602,1
25015008,25015008,HR6292,HR 6292,1
2502,2502,HR1120,HR 1120,1
25028033,25028033,HR6581,HR 6581,1
25030150,25030150,HR8188,HR 8188,1
2504,2504,HR2080/00,HR 2080/00,1
2504/6,25046,HR2080/06,HR 2080/06,1
250694,250694,HR6421,HR 6421,1
2507,2507,HR3505,HR 3505,1
251015,251015,HR8480,HR 8480,1
251118,251118,HR8676,HR 8676,1
251146,251146,HR82201,HR 82201,0
251233.40,25123340,HR7535,HR 7535,1
2514,2514,HR2121,HR 2121,1
251459,251459,HR6707,HR 6707,1
25150112,25150112,HR1127,HR 1127,1
25186005,25186005,HR7382,HR 7382,1
25186006,25186006,HR7383,HR 7383,1
25186013,25186013,HR8167,HR 8167,1
25186014,25186014,HR8060,HR 8060,1
25186015,25186015,HR8063,HR 8063,1
25186019,25186019,HR7383,HR 7383,1
25186020,25186020,HR7923,HR 7923,1
252.634,252634,HR6165,HR 6165,1
253102136,253102136,HR7789,HR 7789,1
253.392,253392,HR7128,HR 7128,1
2550,2550,HR2110,HR 2110,1
2555795,2555795,HR8800,HR 8800,1
255.593,255593,HR7035,HR 7035,1
256.142,256142,HR7035,HR 7035,1
256.216,256216,HR7140,HR 7140,1
2563302,2563302,HR8620,HR 8620,1
256.369,256369,HR7128,HR 7128,1
256.392,256392,HR7128,HR 7128,1
256.504,256504,HR6273,HR 6273,1
256.680,256680,HR6024,HR 6024,1
256.686,256686,HR6036,HR 6036,1
256.716,256716,HR7140,HR 7140,1
256.755,256755,HR7127,HR 7127,1
256.895,256895,HR7128,HR 7128,1
256.967,256967,HR7140,HR 7140,1
256.987,256987,HR6260,HR 6260,1
2570,2570,HR3658,HR 3658,1
2571,2571,HR2115,HR 2115,1
257147,257147,HR82207,HR 82207,0
257151,257151,HR8255,HR 8255,1
2572,2572,HR3657,HR 3657,1
