oem,hr,fk,offset
AM 176407,HR 46050,7428,79394
AM 181297,HR 7687,45059,79434
AM 1813481,HR 7612,53763,79472
AM 1813482,HR 7687,57091,79511
AM 241174,HR 7612,39683,79550
AM 241612,HR 7679,42243,79588
AM 241691,HR 7443,41219,79626
AM 272556,HR 42018,7940,79664
AM 272593,HR 46045,9220,79704
AMS 012/05,HR 42083,24580,79744
AMS 013/17,HR 7527,60163,79785
AMS 175082,HR 7362,16644,79824
AS 55 595,HR 4003,37379,80956
AT 1. 66070,HR 3123,59907,80994
AT 1. 66078,HR 3123,61955,81034
AT 100/8-25/1505,HR 2171,61444,81074
AT 100/8-25/1506,HR 3506,62468,81119
AT 100/8-25/1507,HR 2181,62212,81164
AT 100/8-25/1508,HR 2161,61956,81209
AT 110/18/817-5B,HR 658 RSI,60677,81254
AT 110/18/822 A,HR 2275 R,14085,81302
AT 110/25/01,HR 7305,9732,81348
AT 110/25/02,HR 7306,10244,81389
AT 110/25/05,HR 7306,11012,81430
AT 110/25/05 F,HR 7309,37892,81471
AT 110/25/06,HR 7307,11524,81514
AT 110/25/06 F,HR 7307,37636,81555
AT 110/25/07,HR 7311,10500,81598
AT 110/25/1000,HR 7305,34308,81639
AT 110/25/15,HR 7307,11524,81682
AT 110/25/15 F,HR 7309,38148,81723
AT 110/25/20,HR 7325,10500,81766
AT 110/25/21,HR 7319,11524,81807
AT 110/25/22,HR 7321,9988,81848
AT 110/25/26,HR 7321,11012,81889
AT 110/25/29,HR 7326,13060,82981
AT 110/26/01,HR 7306,10244,83022
AT 110/26/02,HR 7306,10500,83063
AT 110/26/05,HR 7308,11780,83104
AT 110/26/05 F,HR 7309,38148,83145
AT 110/26/09 F,HR 7312,37636,83188
AT 110/26/15,HR 7307,11780,83231
AT 110/26/15 F,HR 7309,38404,83272
AT 110/27/07,HR 7311,11012,83315
AT 110/27/17,HR 7317,12804,83356
AT 110/27/23,HR 7320,10500,83397
AT 110/27/24,HR 7322,11268,83438
AT 110/8-25/1505,HR 2171,61700,83479
AT 110/8-25/1506,HR 3506,62724,83524
AT 110/8-25/1507,HR 2181,62468,83569
AT 110/8-25/1508,HR 2161,62212,83614
AT 110/8-25/1509,HR 3686,261,83659
AT 110/8-25/1530,HR 3530,61188,83704
AT 110/8-25/1531,HR 3687,64772,83749
AT 1109-201,HR 1127,62723,83794
AT 1116-82,HR 2264 CB,29188,83834
AT 1118-7,HR 2264 CB,16644,83876
AT 1118-7 F,HR 2264 CB,42756,83917
AT 1118-72,HR 2264 CB,29444,85057
AT 1118-8,HR 025,26115,85099
AT 1118-81,HR 025,38659,85136
