oem,oem_norm,fbt
003310112,003310112,FBT40269
003311001,003311001,FBT40139
003311002,003311002,FBT40078
003311003,003311003,FBT13505
003311005,003311005,FBT40531
003311007,003311007,FBT40421
003311009,003311009,FBT41068
003311101,003311101,FBT13729
003311102,003311102,FBT40234
003311103,003311103,FBT40377
003311104,003311104,FBT13503
003311106,003311106,FBT40135
003311107,003311107,FBT40705
003311108,003311108,FBT40060
003311110,003311110,FBT40031
003311114,003311114,FBT40413
003311115,003311115,FBT40451
003311116,003311116,FBT40379
003311117,003311117,FBT40439
003311118,003311118,FBT40059
003311119,003311119,FBT40031
003311122,003311122,FBT40264
003311124,003311124,FBT40515
003311125,003311125,FBT40195
003311126,003311126,FBT40342
003311132,003311132,FBT41180
003311134,003311134,FBT40592
003311138,003311138,FBT40435
003311139,003311139,FBT40657
003311140,003311140,FBT40405
003311142,003311142,FBT40963
003311144,003311144,FBT40346
003311146,003311146,FBT40524
003311147,003311147,FBT40525
003311148,003311148,FBT41100
003311150,003311150,FBT41101
003311151,003311151,FBT40658
003311153,003311153,FBT40718
003311154,003311154,FBT40596
003311156,003311156,FBT40528
003311158,003311158,FBT40808
003311159,003311159,FBT40809
003311160,003311160,FBT40979
003311166,003311166,FBT40719
003311167,003311167,FBT40809
003311171,003311171,FBT41190
003311172,003311172,FBT41091
003311173,003311173,FBT40667
003311174,003311174,FBT41263
003311175,003311175,FBT40819
003311176,003311176,FBT40846
003311177,003311177,FBT40897
003311178,003311178,FBT41022
003311179,003311179,FBT40964
003311180,003311180,FBT41023
003311182,003311182,FBT40839
003311183,003311183,FBT41103
003311186,003311186,FBT40979
003311187,003311187,FBT40809
003311187,003311187,FBT41190
003311189,003311189,FBT40811
003311192,003311192,FBT40951
003311193,003311193,FBT40832
003311194,003311194,FBT40956
003311195,003311195,FBT40955
003311196,003311196,FBT40958
003311198,003311198,FBT41069
003311199,003311199,FBT40731
003313001,003313001,FBT40681
003313004,003313004,FBT40498
003313101,003313101,FBT40719
003313102,003313102,FBT40725
003313107,003313107,FBT40322
003313110,003313110,FBT40906
003313111,003313111,FBT41028
003313113,003313113,FBT40979
003313114,003313114,FBT40718
003313115,003313115,FBT41341
003313116,003313116,FBT40954
003313117,003313117,FBT40564
003313119,003313119,FBT40780
003313120,003313120,FBT40708
003313121,003313121,FBT40680
003313123,003313123,FBT41187
003313125,003313125,FBT41379
003313130,003313130,FBT41380
003313134,003313134,FBT40797
003313136,003313136,FBT41305
003313137,003313137,FBT41152
003313138,003313138,FBT40905
003313139,003313139,FBT40894
003313140,003313140,FBT41360
003313142,003313142,FBT41083
003313143,003313143,FBT41179
003313147,003313147,FBT40907
003313149,003313149,FBT41178
003314007,003314007,FBT13646
003320001,003320001,FBT40026
003320102,003320102,FBT40557
003321101,003321101,FBT40558
003321102,003321102,FBT40526
003321104,003321104,FBT40560
003321105,003321105,FBT40518
003321107,003321107,FBT40440
003321109,003321109,FBT41107
003321111,003321111,FBT40542
003321114,003321114,FBT40512
003321115,003321115,FBT40512
003321116,003321116,FBT40513
003321120,003321120,FBT40514
003321128,003321128,FBT40561
003321129,003321129,FBT41385
003321131,003321131,FBT41024
