oem,oem_norm,fbt
3128 138 20411,312813820411,FBT40762
3128 138 20692,312813820692,FBT40707
3128 138 20732,312813820732,FBT40707
3128 138 20882,312813820882,FBT41316
3128 138 20890,312813820890,FBT41310
3128 138 20891,312813820891,FBT41310
3128 138 21121,312813821121,FBT40948
3128 138 21131,312813821131,FBT40859
3128 138 21341,312813821341,FBT41097
3128 138 21342,312813821342,FBT41097
3128 138 21351,312813821351,FBT41098
3128 138 21362,312813821362,FBT41177
3128 138 21411,312813821411,FBT41178
3128 138 21531,312813821531,FBT40852
3128 138 21620,312813821620,FBT41310
3128 138 21621,312813821621,FBT41310
3128 138 21622,312813821622,FBT41310
3128 138 21651,312813821651,FBT40853
3128 138 21721,312813821721,FBT40854
3128 138 21761,312813821761,FBT40861
3128 138 21921,312813821921,FBT41177
3128 138 22101,312813822101,FBT40987
3128 138 22151,312813822151,FBT41059
3128 138 22262,312813822262,FBT40894
3128 138 22671,312813822671,FBT40725
3128 138 22791,312813822791,FBT41001
3128 138 31084,312813831084,FBT40179
3128 138 31354,312813831354,FBT40227
3128 138 38040,312813838040,FBT40186
3128 268 21211,312826821211,FBT40782
3128 268 21212,312826821212,FBT40782
3128 268 21213,312826821213,FBT40782
3128 268 31971,312826831971,FBT40747
3130 108 30380,313010830380,FBT40361
3130 108 30450,313010830450,FBT40398
3130 108 30451,313010830451,FBT40398
3130 108 30457,313010830457,FBT40398
3130 108 30460,313010830460,FBT40398
3130 108 30461,313010830461,FBT40398
3130 108 30462,313010830462,FBT40398
3130 108 30470,313010830470,FBT40398
3130 108 30471,313010830471,FBT40398
3130 108 30472,313010830472,FBT40398
3130 108 30900,313010830900,FBT40704
3130 108 30940,313010830940,FBT40762
3130 108 30950,313010830950,FBT40762
3130 108 30970,313010830970,FBT40762
3130 108 30971,313010830971,FBT40762
3130 108 30972,313010830972,FBT40762
3130 108 30991,313010830991,FBT40762
3130 108 31011,313010831011,FBT40762
3130 108 31050,313010831050,FBT41020
3130 108 31051,313010831051,FBT41059
3130 108 31082,313010831082,FBT41020
3130 108 31083,313010831083,FBT41020
3130 108 63100,313010863100,FBT40398
3130 108 63110,313010863110,FBT40398
3138 108 30100,313810830100,FBT43410
3138 108 30101,313810830101,FBT43410
3138 108 30102,313810830102,FBT43410
3138 108 30103,313810830103,FBT43410
3139 128 30400,313912830400,FBT40057
313A 108 30991,313A10830991,FBT40762
313A 108 30992,313A10830992,FBT40762
313A 108 31050,313A10831050,FBT41020
313A 108 31051,313A10831051,FBT41059
313C 108 30991,313C10830991,FBT40762
313L 108 31200,313L10831200,FBT41376
313T 108 31200,313T10831200,FBT41376
313T 108 31210,313T10831210,FBT41375
3144 138 37593,314413837593,FBT43413
31500,31500,FBT40870
31501,31501,FBT40870
31501153,31501153,FBT40045
31502,31502,FBT40870
31623,31623,FBT41137
3169200,3169200,FBT13849
31751,31751,FBT40634
31752,31752,FBT40602
31760,31760,FBT41045
31761,31761,FBT41045
31762,31762,FBT41045
31763,31763,FBT41045
31830,31830,FBT41354
31832,31832,FBT41354
31833,31833,FBT41354
31972,31972,FBT40747
32002.02,3200202,FBT13823
32002.03,3200203,FBT13823
32008,32008,FBT13472
32008.00,3200800,FBT13472
32008.01,3200801,FBT13472
32009.00,3200900,FBT41050
32009.01,3200901,FBT41050
32015.00,3201500,FBT40470
3210 878 79011,321087879011,FBT41251
3210 908 15017,321090815017,FBT41251
3210 E22 37014,3210E2237014,FBT41251
3210 G09 40018,3210G0940018,FBT41251
3213005,3213005,FBT40523
3213008,3213008,FBT40523
3213009,3213009,FBT40523
3221008,3221008,FBT40469
32302.00,3230200,FBT13823
32308.00,3230800,FBT13472
32308.01,3230801,FBT13472
32309.00,3230900,FBT41050
32309.01,3230901,FBT41050
32309.02,3230902,FBT41050
32315.00,3231500,FBT40470
32315.01,3231501,FBT40470
32315.02,3231502,FBT40470
32320,32320,FBT40361
32330.00,3233000,FBT40368
32331.00,3233100,FBT40115
32334.00,3233400,FBT13505
32335.00,3233500,FBT13729
32336.00,3233600,FBT13729
32337.00,3233700,FBT40115
32337.02,3233702,FBT40115
32339.00,3233900,FBT13729
3243-31692,324331692,FBT13849
3243-31692.50,32433169250,FBT13849
3243-38329,324338329,FBT40411
3243-38913,324338913,FBT40094
3243-3891350,32433891350,FBT40094
32859-135-00,3285913500,FBT40080
32859-135-010,32859135010,FBT40080
32859-136-010,32859136010,FBT40081
32859-136-101,32859136101,FBT40081
32859-151-410,32859151410,FBT40081
32859-152-170,32859152170,FBT40102
32859-154-059,32859154059,FBT40088
32859-200-000,32859200000,FBT40553
32859-200-004,32859200004,FBT40188
32859-200-013,32859200013,FBT40554
32859-200-025,32859200025,FBT40655
33303.71,3330371,FBT13830
334 B 08105,334B08105,FBT40219
334 B 081050,334B081050,FBT40219
334 B 08106,334B08106,FBT40595
334 B 081060,334B081060,FBT40595
334 B 08109,334B08109,FBT40219
334 B 081090,334B081090,FBT40219
334 P 18505,334P18505,FBT40219
334 P 185050,334P185050,FBT40219
334 P 18506,334P18506,FBT40350
334 P 185060,334P185060,FBT40350
334 P 232010,334P232010,FBT40624
334 P 232-1,334P2321,FBT40624
334 P 243020,334P243020,FBT40806
334 P 243 A 20,334P243A20,FBT40806
34000832,34000832,FBT13782
34000863,34000863,FBT13782
34000887,34000887,FBT40019
34000887,34000887,FBT40043
34000911,34000911,FBT40251
34000928,34000928,FBT40372
341077,341077,FBT13830
3454/0004,34540004,FBT40154
350 777 30,35077730,FBT40811
351 757 40,35175740,FBT40832
3525009,3525009,FBT40381
352966018,352966018,FBT41033
352966020,352966020,FBT40227
358 382 20,35838220,FBT41072
358 383 90,35838390,FBT40715
3594,3594,FBT13661
3594.03,359403,FBT13661
3605.01,360501,FBT13664
3606.,3606,FBT13827
36061,36061,FBT13827
36070,36070,FBT13818
36071,36071,FBT13818
36072,36072,FBT13818
36073,36073,FBT13818
36074,36074,FBT13818
36075,36075,FBT13818
361 323 10,36132310,FBT41165
36212,36212,FBT13827
36252-1000046,362521000046,FBT13830
36701,36701,FBT13827
36702,36702,FBT13827
36704,36704,FBT13827
36761,36761,FBT13831
36762,36762,FBT13831
36764,36764,FBT13831
36832,36832,FBT13829
36833,36833,FBT13829
36834,36834,FBT13829
36835,36835,FBT13829
36920,36920,FBT13830
36921,36921,FBT13830
36922,36922,FBT13830
36923,36923,FBT13830
36924,36924,FBT13830
36926,36926,FBT13830
36961,36961,FBT13820
36962,36962,FBT13820
36963,36963,FBT13820
36964,36964,FBT13820
36965,36965,FBT13820
37-001541-38L,3700154138L,FBT40257
37004,37004,FBT13661
37004.01,3700401,FBT13661
37004.02,3700402,FBT13661
37005,37005,FBT13664
37005.02,3700502,FBT13664
37005.90,3700590,FBT13664
37005.92,3700592,FBT13664
37005.93,3700593,FBT13664
37007.02,3700702,FBT13782
37007.03,3700703,FBT13782
37010,37010,FBT13903
37010.00,3701000,FBT13661
37010.01,3701001,FBT13661
37010.50,3701050,FBT13661
37010.51,3701051,FBT13661
37010.90,3701090,FBT13661
37010.91,3701091,FBT13661
37011,37011,FBT13903
37012,37012,FBT13903
37015.00,3701500,FBT13664
37015.90,3701590,FBT13664
37028.01,3702801,FBT13775
37029.00,3702900,FBT13664
37029.01,3702901,FBT13664
37034.00,3703400,FBT13661
37035.00,3703500,FBT13664
37-050119-09 A,3705011909A,FBT41219
37-050119-09 BOX,3705011909BOX,FBT41219
37-050119-09 COX,3705011909COX,FBT41219
37-050119-10503,3705011910503,FBT41323
37-050119-1400 X,370501191400X,FBT41335
37-050119-163 AX,37050119163AX,FBT41235
37-050119-272RX,37050119272RX,FBT41238
37-050119-2760 X,370501192760X,FBT41240
37-050119-276 RX,37050119276RX,FBT41240
37-050119-8570 X,370501198570X,FBT41241
37-050119-8580 X,370501198580X,FBT41242
37051,37051,FBT40167
37052,37052,FBT40167
37053,37053,FBT40167
37054,37054,FBT40167
37055,37055,FBT40167
37102.00,3710200,FBT13646
37102.01,3710201,FBT13646
37140,37140,FBT40246
3714002,3714002,FBT40006
37141,37141,FBT40246
37304.00,3730400,FBT13661
37305.00,3730500,FBT13664
37310.00,3731000,FBT13661
37310.01,3731001,FBT13661
37339.00,3733900,FBT13664
37340,37340,FBT13830
37341,37341,FBT13830
37341.00,3734100,FBT13646
37342,37342,FBT13830
37344.00,3734400,FBT40367
37344.01,3734401,FBT40367
37365.00,3736500,FBT40961
37365.01,3736501,FBT40961
37365.02,3736502,FBT40961
37372.00,3737200,FBT40363
37373.00,3737300,FBT40367
37373.01,3737301,FBT40367
373760,373760,FBT13661
373770,373770,FBT13661
373780,373780,FBT13664
37379.00,3737900,FBT13664
37379.50,3737950,FBT13664
37380.00,3738000,FBT13664
37380.50,3738050,FBT13664
37384.00,3738400,FBT40366
37422,37422,FBT13830
37423,37423,FBT13830
37424,37424,FBT13830
37425,37425,FBT13830
37427,37427,FBT13830
37-501192-55R0 X,3750119255R0X,FBT41200
37-501192-76R0 X,3750119276R0X,FBT41205
37531.00,3753100,FBT13700
3753100-3243,37531003243,FBT13700
37532,37532,FBT13820
37533,37533,FBT13820
37591 TY,37591TY,FBT43413
37593,37593,FBT43413
37620,37620,FBT40057
37621,37621,FBT40057
37622,37622,FBT40057
37623,37623,FBT40057
37624,37624,FBT40057
37625,37625,FBT40057
37626,37626,FBT40057
37627,37627,FBT40057
37628,37628,FBT40057
37629,37629,FBT40057
37651,37651,FBT40167
37654,37654,FBT40167
37740,37740,FBT13830
37741,37741,FBT13830
37742,37742,FBT13830
37743,37743,FBT13830
37745,37745,FBT13830
37831,37831,FBT13830
37833,37833,FBT13830
37850,37850,FBT40369
37851,37851,FBT40369
37854,37854,FBT40369
37931,37931,FBT40113
37-BSC290-1650 X,37BSC2901650X,FBT41174
37-F05012-1400 X,37F050121400X,FBT41174
37F-B21201-9S2,37FB212019S2,FBT41058
37-FBA002-CAA0 C,37FBA002CAA0C,FBT41175
37-FCA001-EAAOC,37FCA001EAAOC,FBT41406
37-JF0101-002,37JF0101002,FBT41194
37-JF0101-0020 X,37JF01010020X,FBT41194
37-JF0501-A02,37JF0501A02,FBT41196
37-SC2502-79Q0 X,37SC250279Q0X,FBT41175
37-SC2901-01S0G,37SC290101S0G,FBT40717
38042,38042,FBT40186
38043,38043,FBT40186
38044,38044,FBT40186
3832900,3832900,FBT40411
38460,38460,FBT13830
38461,38461,FBT13830
38462,38462,FBT13830
38463,38463,FBT13830
38464,38464,FBT13830
38601,38601,FBT13830
38620,38620,FBT41039
38621,38621,FBT41039
38622,38622,FBT41039
38691,38691,FBT40322
38 913 00,3891300,FBT40094
38920,38920,FBT40057
38921,38921,FBT40057
38922,38922,FBT40057
38923,38923,FBT40057
38924,38924,FBT40057
4-001-003,4001003,FBT40119
400112.00,40011200,FBT13729
400112.01,40011201,FBT13729
401416 00,40141600,FBT13504
401483.00,40148300,FBT13729
401532.00,40153200,FBT40025
401532.01,40153201,FBT40025
401532AO,401532AO,FBT40025
401533.00,40153300,FBT40024
401533.01,40153301,FBT40024
401548.00,40154800,FBT40103
401548.00 C,40154800C,FBT40103
402031.00,40203100,FBT40072
402031.A0 C,402031A0C,FBT40072
4030001901,4030001901,FBT40424
4030001902,4030001902,FBT40424
4030001903,4030001903,FBT40424
4030001904,4030001904,FBT40424
4030001906,4030001906,FBT40580
4030001907,4030001907,FBT40499
4030001908,4030001908,FBT40601
4030001909,4030001909,FBT40601
4030001911,4030001911,FBT40601
4030001911,4030001911,FBT40782
4030001915,4030001915,FBT40782
4030001917,4030001917,FBT40681
4030001918,4030001918,FBT40711
4030001922,4030001922,FBT40711
4030002064,4030002064,FBT40681
403000211,403000211,FBT40342
4030002111,4030002111,FBT40342
4030002113,4030002113,FBT40342
403002111,403002111,FBT40342
403002113,403002113,FBT40342
40301907,40301907,FBT40499
40301910,40301910,FBT40499
40308-11,4030811,FBT40025
40308-12,4030812,FBT40024
40308-25,4030825,FBT40349
40308-28,4030828,FBT40530
40308-29,4030829,FBT40613
40308-30,4030830,FBT40094
40308-36,4030836,FBT40529
40308-40,4030840,FBT40632
40308-46,4030846,FBT40650
40308-47,4030847,FBT40650
40309-10,4030910,FBT40139
40309-10 C,4030910C,FBT40113
40309-10 C,4030910C,FBT40139
40309-10 NC,4030910NC,FBT40113
40309-10 NC,4030910NC,FBT40139
40309-11,4030911,FBT40112
40309-17,4030917,FBT40387
40309-17 NC,4030917NC,FBT40387
40309-19,4030919,FBT40384
40309-21,4030921,FBT40139
40309-24,4030924,FBT40420
40309-26 NC,4030926NC,FBT40387
4031001905,4031001905,FBT40424
4031001906,4031001906,FBT40580
40315-10,4031510,FBT13504
40315-17,4031517,FBT40174
4031705110,4031705110,FBT40787
4031705111,4031705111,FBT40786
40317-14,4031714,FBT40074
4031800111,4031800111,FBT40681
4031800113,4031800113,FBT40681
40325-39,4032539,FBT40739
40325-46,4032546,FBT40734
40325-53,4032553,FBT40735
40325-57,4032557,FBT40734
40325-58,4032558,FBT40735
40327-10,4032710,FBT40620
40327-11,4032711,FBT40621
40327-12,4032712,FBT40622
40327.13,4032713,FBT40654
40327-15,4032715,FBT40623
40327-19,4032719,FBT41403
40327-20,4032720,FBT40806
40327-22,4032722,FBT40768
40327-23,4032723,FBT40770
40327-26,4032726,FBT40768
40330-10,4033010,FBT40528
40330-11,4033011,FBT40528
40330-12,4033012,FBT40667
40330-14,4033014,FBT40234
40330-16,4033016,FBT40564
40330-19,4033019,FBT40405
40330-22,4033022,FBT40955
40330-26,4033026,FBT40528
40330-27,4033027,FBT40528
40330-28,4033028,FBT40482
40330-35,4033035,FBT40956
40330-39,4033039,FBT40992
40330-40,4033040,FBT40342
40330-42,4033042,FBT40731
40330-43,4033043,FBT41132
40330-44,4033044,FBT40667
40330-46,4033046,FBT40839
40330-46 C,4033046C,FBT40839
40330-47,4033047,FBT40811
40330-51,4033051,FBT40811
40330-53,4033053,FBT40811
40330-54,4033054,FBT40951
40330-55,4033055,FBT40832
40330-56,4033056,FBT40832
40330-56,4033056,FBT40951
40330-60,4033060,FBT40992
40330-66,4033066,FBT41180
40330-71,4033071,FBT41315
40331-01,4033101,FBT40395
40331-03,4033103,FBT40395
40331-06,4033106,FBT40395
40331-10,4033110,FBT40504
40331-11,4033111,FBT40504
40331-13,4033113,FBT40387
40331-14,4033114,FBT40387
40331-23,4033123,FBT40522
40331-25,4033125,FBT40113
40331-29,4033129,FBT40438
40331-30,4033130,FBT40380
40331-39,4033139,FBT40580
40331-39 C,4033139C,FBT40580
40331-40,4033140,FBT40395
40331-41,4033141,FBT40362
40331-45,4033145,FBT40395
40331-46,4033146,FBT40395
40331-47,4033147,FBT40499
40331-53,4033153,FBT40982
40331-53 C,4033153C,FBT40982
40332-06,4033206,FBT40437
40332-08,4033208,FBT40437
40332-10,4033210,FBT40555
40332-15,4033215,FBT40504
40332-16,4033216,FBT40660
40332-20,4033220,FBT40963
40332-20 C,4033220C,FBT40963
40332-22,4033222,FBT40342
40332-25,4033225,FBT40437
40332-26,4033226,FBT40555
40332-32,4033232,FBT40730
40332-34,4033234,FBT40555
40332-34 NC,4033234NC,FBT40555
40332-35,4033235,FBT40437
40332-35 NC,4033235NC,FBT40437
40332-37,4033237,FBT40437
40332-42,4033242,FBT41100
40332-43,4033243,FBT40135
40332-45,4033245,FBT40733
40332-47,4033247,FBT40426
40332-50,4033250,FBT13729
40332-51,4033251,FBT40103
40333-22,4033322,FBT40876
40337-02,4033702,FBT40738
40337-10,4033710,FBT40321
40337-11,4033711,FBT40183
40337-14,4033714,FBT40813
40337-16,4033716,FBT40601
40337-17,4033717,FBT40738
40337-19,4033719,FBT40601
40337-20,4033720,FBT40738
40337-21,4033721,FBT40813
40337-22,4033722,FBT40704
40337-26,4033726,FBT40762
40337-28,4033728,FBT40732
40337-30,4033730,FBT40762
40337-38,4033738,FBT41102
40337-43,4033743,FBT40736
40337-48,4033748,FBT40762
40337-49,4033749,FBT40784
40337-50,4033750,FBT40814
40337-53,4033753,FBT40762
40337-54,4033754,FBT40762
40337-55,4033755,FBT40753
40337-57,4033757,FBT40736
40337-60,4033760,FBT41020
40337-61,4033761,FBT40784
40337-61 C,4033761C,FBT40784
40337-62,4033762,FBT41020
40337-62 NC,4033762NC,FBT41020
40337-63,4033763,FBT40601
40337-63 C,4033763C,FBT40601
40337-65,4033765,FBT41059
40337-65 NC,4033765NC,FBT41059
40337-66,4033766,FBT41309
40337-67,4033767,FBT41020
40337-68,4033768,FBT40784
40337-69,4033769,FBT40753
40337-70,4033770,FBT41059
40337-70 NC,4033770NC,FBT41059
40337-74,4033774,FBT40753
40337-74 C,4033774C,FBT40753
40337-77,4033777,FBT40987
40337-80,4033780,FBT41092
40337-80 C,4033780C,FBT41092
40337-81,4033781,FBT40784
40337-81 C,4033781C,FBT40784
40337-82,4033782,FBT40753
40337-82 C,4033782C,FBT40753
40341-10,4034110,FBT40472
40342-10,4034210,FBT40487
40342-12,4034212,FBT40960
40347A-14,40347A14,FBT40832
40347A-15,40347A15,FBT40832
40347A-16,40347A16,FBT40951
40348-01,4034801,FBT40680
40348-02,4034802,FBT40681
40348-03,4034803,FBT40564
40348-05,4034805,FBT40810
40348-06,4034806,FBT40718
40348-17,4034817,FBT40861
40348A-01,40348A01,FBT40680
40348A-02,40348A02,FBT40681
40348A-03,40348A03,FBT40564
40348A-05,40348A05,FBT40810
40348A-06,40348A06,FBT40718
40348A-08,40348A08,FBT40818
40348A-09,40348A09,FBT40725
40348A-09 C,40348A09C,FBT40725
40348A-11,40348A11,FBT41083
40348A-12,40348A12,FBT40725
40348A-12 C,40348A12C,FBT40725
40348A-14,40348A14,FBT40797
40348A-14 C,40348A14C,FBT40797
40348A-20,40348A20,FBT41025
40348A-21,40348A21,FBT40905
40348A-22,40348A22,FBT41179
40348A-25,40348A25,FBT40894
40348A-25 C,40348A25C,FBT40894
40348A-37,40348A37,FBT41375
40348A-37 NC,40348A37NC,FBT41375
40348A-38,40348A38,FBT41376
40348A-38 NC,40348A38NC,FBT41376
40351A-1,40351A1,FBT41009
40351A-11,40351A11,FBT40932
40351A-11 NC,40351A11NC,FBT40932
40351A-12,40351A12,FBT41166
40351A-13,40351A13,FBT41001
40351A-4,40351A4,FBT41165
40351A-5,40351A5,FBT40950
40351A-9,40351A9,FBT41082
404045.61,40404561,FBT40091
413 799,413799,FBT40380
416 958,416958,FBT40436
4199.02,419902,FBT40043
420116,420116,FBT13780
420388,420388,FBT40435
422731,422731,FBT40436
423700,423700,FBT13758
423972,423972,FBT40985
425765,425765,FBT40759
425766,425766,FBT40748
427975,427975,FBT40862
429 019,429019,FBT40862
4298-03,429803,FBT40633
430368,430368,FBT40057
430572,430572,FBT40515
4324111,4324111,FBT41063
435042,435042,FBT40669
435 220,435220,FBT40794
435 877,435877,FBT40759
437 721,437721,FBT41127
439161,439161,FBT40759
439 188,439188,FBT40862
440760.00,44076000,FBT13729
440761.00,44076100,FBT13505
444 50 0058,444500058,FBT40526
444 50 0058.A2,444500058A2,FBT40526
444 50 0066,444500066,FBT40558
444 50 0074,444500074,FBT40560
444 50 0074.A2,444500074A2,FBT40560
444 50 0090,444500090,FBT40558
444 50 0090.A2,444500090A2,FBT40558
444 50 0101,444500101,FBT40526
444 50 0136,444500136,FBT40560
444 50 0144,444500144,FBT40513
444 50 0144.A2,444500144A2,FBT40513
444 50 0152,444500152,FBT40512
444 50 0160,444500160,FBT40785
444 50 0179,444500179,FBT40512
444 50 0179.A2,444500179A2,FBT40512
444 50 0206,444500206,FBT40557
444 50 0206.A1,444500206A1,FBT40557
444 50 0214,444500214,FBT40561
444 50 0214.A2,444500214A2,FBT40561
444 50 0222,444500222,FBT41385
444 50 0257,444500257,FBT41118
444 50 0257.A1,444500257A1,FBT41118
444 500 265,444500265,FBT41119
444 50 0265.A1,444500265A1,FBT41119
444 50 0335,444500335,FBT41120
444 50 0335.A1,444500335A1,FBT41120
444 50 0386,444500386,FBT41386
444 50 0386.A1,444500386A1,FBT41386
444 50 1004,444501004,FBT41387
444 50 1004.A1,444501004A1,FBT41387
444 50 1012,444501012,FBT41388
444 50 1012.A1,444501012A1,FBT41388
444 50 1211,444501211,FBT41390
444 50 1211.A1,444501211A1,FBT41390
444 50 1238,444501238,FBT41389
444 50 1238.A1,444501238A1,FBT41389
444 50 1410,444501410,FBT41392
444 50 1410.A1,444501410A1,FBT41392
444 50 1515,444501515,FBT41391
444 50 1515.A1,444501515A1,FBT41391
445615,445615,FBT40748
446 830,446830,FBT41085
4470034,4470034,FBT40264
447 054,447054,FBT41154
447 F 001,447F001,FBT13661
4515 0302,45150302,FBT13630
4515 0305,45150305,FBT13630
4515 0306,45150306,FBT13732
4515 0308,45150308,FBT13733
4515 0310,45150310,FBT13732
4515 0313,45150313,FBT13809
4515 0315,45150315,FBT13733
4515 0318,45150318,FBT13545
4515 0319,45150319,FBT13809
4515 0320,45150320,FBT13551
4515 0321,45150321,FBT13493
4515 0324,45150324,FBT13805
4515 0325,45150325,FBT13733
4515 0326,45150326,FBT13804
4515 0328,45150328,FBT13806
4515 0329,45150329,FBT13808
4515 0330,45150330,FBT13807
4515 0334,45150334,FBT13665
4515 0335,45150335,FBT13808
4515 0338,45150338,FBT13806
4515 0340,45150340,FBT13727
4515 0341,45150341,FBT13665
4515 0342,45150342,FBT40007
4515 0344,45150344,FBT13665
4515 0345,45150345,FBT13790
4515 0346,45150346,FBT13844
4515 0348,45150348,FBT13843
4515 0350,45150350,FBT13806
4515 0351,45150351,FBT13806
4515 0375,45150375,FBT13665
4515 0378,45150378,FBT13790
4515 0379,45150379,FBT40032
4515 0380,45150380,FBT40033
4515 0504,45150504,FBT40015
4515 0506,45150506,FBT40072
4515 0507,45150507,FBT40091
4515 0508,45150508,FBT40056
4515 0509,45150509,FBT40016
4515 0510,45150510,FBT40084
4515 0513,45150513,FBT40264
4515 0514,45150514,FBT40137
4515 0520,45150520,FBT40078
4515 0521,45150521,FBT40015
4515 0522,45150522,FBT40016
4515 0523,45150523,FBT40056
4515 0524,45150524,FBT40137
4515 0525,45150525,FBT40139
4515 0526,45150526,FBT40195
4515 0527,45150527,FBT40254
4515 0528,45150528,FBT40233
4515 0785,45150785,FBT40148
4515 0800,45150800,FBT40019
4515 8815,45158815,FBT40197
4515 8830,45158830,FBT40372
452001003,452001003,FBT13756
4523 1631,45231631,FBT40043
4532 0001,45320001,FBT40229
4536 0003,45360003,FBT40233
4536 0007,45360007,FBT41291
4536 0009,45360009,FBT40508
4536 0010,45360010,FBT40139
4536 0013,45360013,FBT40400
4536 0014,45360014,FBT40399
4536 0016,45360016,FBT41181
4536 0017,45360017,FBT40254
4536 0018,45360018,FBT40376
4536.0020,45360020,FBT40229
4536 0027,45360027,FBT40804
4536 0028,45360028,FBT40805
4536 0030,45360030,FBT41181
4536 0031,45360031,FBT40254
4536 0032,45360032,FBT40376
4536 0033,45360033,FBT40720
4536 0034,45360034,FBT40229
4536 0035,45360035,FBT41135
4536 0036,45360036,FBT40802
4536 0038,45360038,FBT40195
4536 0039,45360039,FBT40895
4536 0040,45360040,FBT40793
4536 0041,45360041,FBT40884
4536 0044,45360044,FBT40781
4536 0045,45360045,FBT40139
4536 0048,45360048,FBT40885
4536 0061,45360061,FBT40895
4536 0062,45360062,FBT40793
4536 0063,45360063,FBT41188
4536 0064,45360064,FBT40896
4536 0081,45360081,FBT40947
4536 0082,45360082,FBT40921
4536 0083,45360083,FBT40924
4536 0084,45360084,FBT40886
4536 0086,45360086,FBT40999
4536 0087,45360087,FBT41076
4536 0089,45360089,FBT41078
4536 0093,45360093,FBT41158
4536 0094,45360094,FBT41153
4536 0096,45360096,FBT41156
460001003,460001003,FBT41040
460001004,460001004,FBT13782
46090311,46090311,FBT13830
4609166569,4609166569,FBT13897
461550016,461550016,FBT41086
462001007,462001007,FBT13662
462001008,462001008,FBT13814
462001010,462001010,FBT13775
462001025,462001025,FBT13721
462001026,462001026,FBT13792
462001027,462001027,FBT13775
462001030,462001030,FBT13794
462001031,462001031,FBT41040
462001032,462001032,FBT13782
462001036,462001036,FBT13786
462001038,462001038,FBT13786
463003009,463003009,FBT13756
463003109,463003109,FBT13756
463003110,463003110,FBT13637
463003117,463003117,FBT13794
463003123,463003123,FBT13775
46310056,46310056,FBT40620
468 TX 807 CS,468TX807CS,FBT41083
470012.00,47001200,FBT13661
470014.00,47001400,FBT13664
470014.01,47001401,FBT13664
470034.81,47003481,FBT13503
470034.83,47003483,FBT40043
470035.64,47003564,FBT13729
470036.60,47003660,FBT40023
470036.62,47003662,FBT40740
47005481,47005481,FBT13503
470662.00,47066200,FBT13823
470943.00,47094300,FBT13664
470943.01,47094301,FBT13664
470943.02,47094302,FBT13664
47105189,47105189,FBT40133
47105289,47105289,FBT40133
471073.00,47107300,FBT13661
471077.01,47107701,FBT13775
471160.02,47116002,FBT13816
471160.03,47116003,FBT13816
471160.04,47116004,FBT13816
471320.02,47132002,FBT13817
472-20002-09,4722000209,FBT40045
472249.00,47224900,FBT13782
472352.00,47235200,FBT13823
472359.00,47235900,FBT13816
472359.01,47235901,FBT13816
472360.00,47236000,FBT13817
472360.01,47236001,FBT13817
472421.00,47242100,FBT13828
472421.01,47242101,FBT13828
472502.00,47250200,FBT13775
472623.00,47262300,FBT40019
472623.01,47262301,FBT40019
472623.02,47262302,FBT40019
472623.02 C,47262302C,FBT40019
472692.01,47269201,FBT40019
472692.02,47269202,FBT40019
472692.03,47269203,FBT40019
472725.00,47272500,FBT40162
472725.01,47272501,FBT40162
472725.02,47272502,FBT40162
472740.01,47274001,FBT40237
472741.00,47274100,FBT40019
472742.00,47274200,FBT40026
472745.00,47274500,FBT40162
472745.01,47274501,FBT40162
472745.02,47274502,FBT40162
472914.00,47291400,FBT40043
472914.01,47291401,FBT40043
472941.00,47294100,FBT13849
472941.01,47294101,FBT13849
472941.02,47294102,FBT13849
472949.00,47294900,FBT40026
473017.00,47301700,FBT13646
473026.00,47302600,FBT40073
473028.00,47302800,FBT40074
47303700,47303700,FBT13826
473056.00,47305600,FBT40129
473056.01,47305601,FBT40129
47305602,47305602,FBT40129
473058/00C,47305800C,FBT40633
473058.01,47305801,FBT40633
473063.00,47306300,FBT40198
473100.45,47310045,FBT40094
47310049,47310049,FBT40082
473100.50,47310050,FBT40531
473100.88,47310088,FBT13729
473 100 91,47310091,FBT40520
473100.96,47310096,FBT13729
473156.00,47315600,FBT40098
473175.44,47317544,FBT40094
473175.53,47317553,FBT40019
473175.54,47317554,FBT40251
473175.56,47317556,FBT40103
473175.56 C,47317556C,FBT40103
47317558,47317558,FBT40084
473175.66,47317566,FBT13505
473175.72,47317572,FBT13729
47317578,47317578,FBT40024
473175.99,47317599,FBT40098
473175F8,473175F8,FBT40084
473197.00,47319700,FBT40174
473200.00,47320000,FBT13505
473200.12,47320012,FBT40612
473 200 41,47320041,FBT40531
473200.48,47320048,FBT40538
473 200 65,47320065,FBT40538
47320082,47320082,FBT13729
473200.99,47320099,FBT40098
47320099C,47320099C,FBT40098
473201.00,47320100,FBT13503
473201.01,47320101,FBT13503
473201.02,47320102,FBT13503
473201.03,47320103,FBT13503
473201.04,47320104,FBT13503
473201.12,47320112,FBT40373
473202.03,47320203,FBT13503
47320224,47320224,FBT41030
473220112,473220112,FBT40119
473244.00,47324400,FBT40198
473261.00,47326100,FBT13786
473284.00,47328400,FBT13846
473284.01,47328401,FBT13846
473356.00,47335600,FBT40098
473356.01,47335601,FBT40098
478023.00,47802300,FBT40082
478045.00,47804500,FBT40411
479201-04,47920104,FBT13503
4806 140 17023,480614017023,FBT40246
4806 140 17067,480614017067,FBT40747
4806 140 17068,480614017068,FBT40666
4806 140 17077,480614017077,FBT41000
4806 140 17084,480614017084,FBT40801
4806 140 17089,480614017089,FBT41178
